sim_time,module,x,y,speed,acceleration
11.3,car[0],272.879,227.627,19.9771,0.111332
11.3,car[1],252.93,152.695,13.9873,0.479857
11.4,car[0],273.492,229.515,19.8472,-1.29919
11.4,car[1],253.581,153.939,14.0347,0.473656
11.5,car[0],274.184,231.378,19.8747,0.274464
11.5,car[1],254.234,155.186,14.0815,0.467532
11.6,car[0],274.88,233.249,19.964,0.892962
11.6,car[1],254.881,156.442,14.1264,0.449077
11.7,car[0],275.574,235.117,19.9273,-0.366737
11.7,car[1],255.493,157.72,14.172,0.456142
11.8,car[0],276.266,236.981,19.8839,-0.434124
11.8,car[1],256.103,158.993,14.1111,-0.608268
11.9,car[0],276.958,238.842,19.8568,-0.270295
11.9,car[1],256.71,160.261,14.058,-0.531101
12,car[0],277.654,240.714,19.9711,1.14244
12,car[1],257.315,161.524,14.0056,-0.524595
12.1,car[0],278.345,242.575,19.8504,-1.2068
12.1,car[1],257.922,162.792,14.0563,0.507633
12.2,car[0],279.039,244.441,19.9048,0.543686
12.2,car[1],258.531,164.064,14.1027,0.463407
12.3,car[0],279.819,246.276,19.9477,0.428933
12.3,car[1],259.142,165.34,14.1486,0.458796
12.4,car[0],280.692,248.06,19.8534,-0.94318
12.4,car[1],259.755,166.62,14.1938,0.452816
12.5,car[0],281.567,249.848,19.9132,0.598802
12.5,car[1],260.367,167.899,14.1787,-0.151724
12.6,car[0],282.443,251.64,19.9487,0.354273
12.6,car[1],260.979,169.176,14.1675,-0.111997
12.7,car[1],261.591,170.453,14.1563,-0.112042
12.8,car[1],262.202,171.73,14.1563,0
12.9,car[1],262.579,173.087,14.0806,-0.75637
13,car[1],262.874,174.471,14.1563,0.75637
13.1,car[1],263.17,175.856,14.1563,-4.3876e-12
13.2,car[1],263.465,177.24,14.1563,3.19744e-12
13.3,car[1],263.761,178.625,14.1563,-3.19744e-12
13.4,car[1],264.056,180.009,14.1563,3.05533e-12
13.5,car[1],264.351,181.393,14.1563,-5.41789e-12
13.6,car[1],264.647,182.778,14.1563,7.94032e-12
13.7,car[1],264.942,184.162,14.1563,-1.19016e-12
13.8,car[1],265.238,185.547,14.1563,-5.56e-12
13.9,car[1],265.533,186.931,14.1563,-1.35003e-12
14,car[1],265.828,188.316,14.1563,6.91003e-12
14.1,car[1],266.124,189.7,14.1563,-5.56e-12
14.2,car[1],266.419,191.085,14.1563,6.75016e-12
14.3,car[1],266.685,192.474,14.147,-0.0924261
14.4,car[1],266.865,193.878,14.1563,0.0924261
14.5,car[1],267.044,195.283,14.1563,8.86402e-12
14.6,car[1],267.223,196.687,14.1563,0
14.7,car[1],267.402,198.091,14.1563,-6.35936e-12
14.8,car[1],267.582,199.495,14.1563,5.64881e-12
14.9,car[1],267.761,200.9,14.1563,-2.52243e-12
15,car[1],267.94,202.304,14.1563,-2.41585e-12
15.1,car[1],268.12,203.708,14.1563,4.93827e-12
15.2,car[1],268.334,205.106,14.1445,-0.118114
15.3,car[1],268.641,206.488,14.1563,0.118114
15.4,car[1],268.948,207.87,14.1563,-5.32907e-14
15.5,car[1],269.255,209.252,14.1563,5.32907e-14
15.6,car[1],269.563,210.634,14.1563,8.01137e-12
15.7,car[1],269.87,212.016,14.1563,-8.01137e-12
15.8,car[1],270.177,213.397,14.1563,8.01137e-12
15.9,car[1],270.46,214.784,14.1544,-0.0187358
16,car[1],270.722,216.175,14.1563,0.0187358
16.1,car[1],270.984,217.567,14.1563,3.05533e-12
16.2,car[1],271.246,218.958,14.1563,-5.50671e-13
16.3,car[1],271.508,220.349,14.1563,5.50671e-13
16.4,car[1],271.77,221.74,14.1563,5.02709e-12
16.5,car[1],272.032,223.131,14.1563,-1.06049e-11
16.6,car[1],272.294,224.522,14.1563,0
16.7,car[1],272.556,225.914,14.1563,1.06049e-11
16.8,car[1],272.818,227.305,14.1563,-5.02709e-12
16.9,car[1],273.178,228.669,14.1066,-0.496211
17,car[1],273.671,229.996,14.1563,0.496211
17.1,car[1],274.164,231.323,14.1563,0
17.2,car[1],274.657,232.65,14.1563,5.04485e-12
17.3,car[1],275.15,233.977,14.1563,-5.04485e-12
17.4,car[1],275.643,235.304,14.1563,5.04485e-12
17.5,car[1],276.136,236.631,14.1563,-5.04485e-12
17.6,car[1],276.629,237.958,14.1563,-4.63629e-12
17.7,car[1],277.123,239.285,14.1563,9.00613e-12
17.8,car[1],277.616,240.612,14.1563,-6.34159e-12
17.9,car[1],278.109,241.939,14.1563,9.00613e-12
18,car[1],278.602,243.266,14.1563,-1.16707e-11
18.1,car[1],279.095,244.592,14.1563,1.16707e-11
18.2,car[1],279.635,245.899,14.1402,-0.160662
18.3,car[1],280.257,247.171,14.1563,0.160662
18.4,car[1],280.879,248.443,14.1563,7.58504e-12
18.5,car[1],281.501,249.714,14.1563,-5.02709e-12
18.6,car[1],282.123,250.986,14.1563,2.46914e-12
18.7,car[1],282.745,252.258,14.1563,-2.46914e-12
