Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],MachE_accCmd [m/s2]
25.020437276999473,25.1,0.01922464370727539,72.24632551999998,0.0,1.21435,-0.506599999999997,54.870560662965865,0.0,2.195805788040161,0.0,-0.622033417224884
25.070864186999643,25.15,0.016286373138427734,72.30577651999998,0.0,1.18902,-0.5066000000000015,55.085416834023846,0.0,2.1131391525268555,-1.6533327102661133,-0.5611410140991211
25.21844631499971,25.2,0.009957075119018555,72.36396101999998,0.0,1.16369,-0.5066000000000015,55.085416834023846,0.0,2.1131391525268555,0.0,-0.24050477147102356
25.228914878999603,25.25,0.009332656860351562,72.42087901999997,0.0,1.13836,-0.506599999999997,55.29148364517399,0.0,2.0229225158691406,-1.8043327331542969,-0.21759267151355743
25.23881284199979,25.3,0.010775327682495117,72.47653051999997,0.0,1.11303,-0.5066000000000015,55.29148364517399,0.0,2.0229225158691406,0.0,-0.19985154271125793
25.26155352099977,25.35,0.016113996505737305,72.53091551999997,0.0,1.0877,-0.5066000000000015,55.488636178232404,0.0,1.9338995218276978,-1.7804598808288574,-0.21115745604038239
25.320584913999483,25.4,0.013863563537597656,72.58403401999996,0.0,1.06237,-0.506599999999997,55.488636178232404,0.0,1.9338995218276978,0.0,-0.20436614751815796
25.36605386499923,25.45,0.0225675106048584,72.63573403999996,0.0,1.0340004,-0.5673919999999999,55.67735846308049,0.0,1.8565853834152222,-1.5462827682495117,-0.2152298390865326
25.425286738000068,25.5,0.01563429832458496,72.68505303999996,0.0,0.986379999999999,-0.9524080000000201,55.67735846308049,0.0,1.8565853834152222,0.0,-0.20560330152511597
25.467420859999947,25.55,0.014206886291503906,72.73183903999995,0.0,0.935719999999998,-1.0132000000000208,55.8593709755108,0.0,1.8057106733322144,-1.0174942016601562,-0.21629975736141205
25.518616880999616,25.6,0.018135786056518555,72.77609203999995,0.0,0.885059999999999,-1.0131999999999808,55.8593709755108,0.0,1.8057106733322144,0.0,-0.2172396183013916
25.569776603999344,25.65,0.015313863754272461,72.81781203999995,0.0,0.834399999999998,-1.0132000000000185,56.03752240174889,0.0,1.778272271156311,-0.5487680435180664,-0.22647473216056824
25.618021935999423,25.7,0.014569520950317383,72.85699903999995,0.0,0.783739999999998,-1.0132000000000008,56.03752240174889,0.0,1.778272271156311,0.0,-0.2230217605829239
25.665901911999754,25.75,0.016899824142456055,72.89365303999995,0.0,0.733079999999999,-1.0131999999999808,56.21393000887847,0.0,1.7667440176010132,-0.23056507110595703,-0.24341772496700287
