Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
57.81434110799455,58.1,0.00881648063659668,178.0302165200001,0.0,8.79696,-0.6258000000000052,134.41937163478417,0.0,1.8310298919677734,0.39713025093078613,0.6338902711868286
57.9143160690146,58.2,0.009151220321655273,178.9036545200001,0.0,8.73438,-0.6258000000000052,134.6049376577509,0.0,1.8788284063339233,0.477985143661499,0.6134688854217529
58.01478493399918,58.3,0.009077310562133789,179.77083452000008,0.0,8.6718,-0.6258000000000052,134.98710286898316,0.0,1.9520866870880127,0.7325828075408936,0.6134688854217529
58.11458207399119,58.4,0.009353876113891602,180.63175652000007,0.0,8.60922,-0.6257999999999875,134.98710286898316,0.0,1.9520866870880127,0.0,0.590702474117279
58.21563979599159,58.5,0.00845646858215332,181.48622384000006,0.0,8.5446732,-0.6454680000000046,135.1843278832413,0.0,1.9929033517837524,0.40816664695739746,0.5749047994613647
58.41501466601039,58.6,0.006971120834350586,182.33135184000005,0.0,8.45128,-0.9339319999999951,135.3853020388658,0.0,2.028186559677124,0.3528320789337158,0.5622519850730896
58.424518784013344,58.7,0.008624076843261719,183.16694384000004,0.0,8.35592,-0.9536000000000122,135.58954547367185,0.0,2.0617902278900146,0.33603668212890625,0.5526949167251587
58.514794090995565,58.8,0.008763551712036133,183.99299984000004,0.0,8.26056,-0.9535999999999945,135.7973721049938,0.0,2.0976314544677734,0.3584122657775879,0.5216434001922607
58.61554931901628,58.9,0.008937597274780273,184.80951984000004,0.0,8.1652,-0.9535999999999945,136.00861415550466,0.0,2.1332437992095947,0.3561234474182129,0.5136290192604065
58.715329761005705,59.0,0.008575677871704102,185.61650384000004,0.0,8.06984,-0.9536000000000122,136.22282904687003,0.0,2.1608059406280518,0.2756214141845703,0.500144898891449
58.81442025501747,59.1,0.008480548858642578,186.41391608000004,0.0,7.9741224,-0.9571759999999951,136.43948433892308,0.0,2.186609983444214,0.2580404281616211,0.4838521182537079
58.91484442600631,59.2,0.008519411087036133,187.20123208000004,0.0,7.87316,-1.0096239999999934,136.6595363729999,0.0,2.2252159118652344,0.3860592842102051,0.47191205620765686
59.01515858300263,59.3,0.008624553680419922,187.97841608000004,0.0,7.77184,-1.013200000000003,136.88242923913745,0.0,2.2510738372802734,0.2585792541503906,0.4515199661254883
59.11464008901385,59.4,0.009118795394897461,188.74546808000005,0.0,7.67052,-1.013200000000003,137.3382782280006,0.0,2.3221120834350586,0.7103824615478516,0.4515199661254883
59.215303848002804,59.5,0.009572982788085938,189.50238808000006,0.0,7.5692,-1.013199999999994,137.3382782280006,0.0,2.3221120834350586,0.0,0.4228380620479584
59.31606665899744,59.6,0.008351325988769531,190.24917608000007,0.0,7.46788,-1.013200000000003,137.57120679309764,0.0,2.3517582416534424,0.2964615821838379,0.4022922217845917
59.51486821801518,59.7,0.007293701171875,190.98583208000008,0.0,7.36656,-1.013200000000003,137.80844615363335,0.0,2.4051618576049805,0.5340361595153809,0.3887542188167572
