Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,CollisionRate_per_s
3veh,0.75s\10s,PCF-I,1.83006284290907,0.735792963888056,0
3veh,0.75s\10s,PCF-IDA,2.80457836815092,51.0286446343273,0
3veh,0.5s\10s,PCF,-9.64082103982512,-8.37817012216488,0
3veh,0.5s\10s,PCF-I,1.77816441186207,1.18263737558002,0
3veh,0.5s\10s,PCF-IDA,1.36533793115236,-0.146086260135997,0
3veh,0.2s\10s,PCF,-7.8924446944889,-3.40465778566551,0
3veh,0.2s\10s,PCF-I,0.780613585348592,0.618141012847579,0
3veh,0.2s\10s,PCF-IDA,0.228910950578178,-0.546304263732984,0
3veh,0.1s\10s,PCF,-1.92306857279913,-2.60536593454098,0
3veh,0.1s\10s,PCF-I,-0.104655516616305,-0.64074886678441,0
3veh,0.1s\10s,PCF-IDA,0.920789250456971,0.688533189850203,0
3veh_avg,No Attack,PCF,0,0,0.00557413600891862
3veh_avg,No Attack,PCF-I,0,0,0.00557413600891862
3veh_avg,No Attack,PCF-IDA,0,0,0.00557413600891862
3veh_avg,2s\22s,PCF,65.1271748855786,-21.6806235469186,0.0167224080267559
3veh_avg,2s\22s,PCF-I,4.43240970813661,2.02984511583132,0.00557413600891862
3veh_avg,2s\22s,PCF-IDA,4.61332422127465,38.1264467252681,0.00557413600891862
3veh_avg,2s\19s,PCF,63.8705932077098,-35.7598870752317,0.0222965440356745
3veh_avg,2s\19s,PCF-I,4.61668927175557,2.2848284556115,0.00557413600891862
3veh_avg,2s\19s,PCF-IDA,4.53154428023664,39.343035875923,0.00557413600891862
3veh_avg,2s\20s,PCF,61.8650715688426,-35.2822903247989,0.0222965440356745
3veh_avg,2s\20s,PCF-I,4.99888311726623,3.11546798469044,0.00557413600891862
3veh_avg,2s\20s,PCF-IDA,4.52599129805175,39.2516399205759,0.00557413600891862
3veh_avg,1s\20s,PCF,5.0818435560429,-14.3150843492647,0.00557413600891862
3veh_avg,1s\20s,PCF-I,2.85940730749078,1.52282109277642,0.00557413600891862
3veh_avg,1s\20s,PCF-IDA,2.57359577459062,37.7619162988699,0.00557413600891862
3veh_avg,0.5s\20s,PCF,-8.82112327364548,-7.20434020371426,0.00557413600891862
3veh_avg,0.5s\20s,PCF-I,1.8229799658699,1.3136067498209,0.00557413600891862
3veh_avg,0.5s\20s,PCF-IDA,1.35688669252446,0.109193907734381,0.00557413600891862
3veh_avg,2s\10s,PCF,81.0496145315538,-42.5255101274034,0.0222965440356745
3veh_avg,2s\10s,PCF-I,3.26856347963382,0.59906499577165,0.00557413600891862
3veh_avg,2s\10s,PCF-IDA,5.09461998798173,51.6327129231397,0.00557413600891862
