Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v1_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2]
21.7,0.017943143844604492,61.12240868000002,0.0,5.05557,-0.0893999999999906,49.36914990639906,0.0,4.524533306314633,-0.22727272727273373
21.75,0.017089128494262695,61.37496368000002,0.0,5.0511,-0.08940000000000836,49.594808389896606,0.0,4.513169669950996,-0.22727272727273373
21.8,0.018124818801879883,61.62729518000002,0.0,5.04663,-0.0893999999999906,49.81989869157597,0.0,4.50180603358736,-0.22727272727273373
21.85,0.02388167381286621,61.879197560000016,0.0,5.0380476,-0.17164800000001534,50.044420811437156,0.0,4.490442397223723,-0.22727272727273373
21.9,0.02440047264099121,62.12936856000002,0.0,5.00342,-0.6925519999999885,50.26837474948016,0.0,4.479078760860086,-0.22727272727273373
21.95,0.01211404800415039,62.377602560000014,0.0,4.96468,-0.7747999999999955,50.49176050570498,0.0,4.46771512449645,-0.22727272727273373
22.0,0.01659560203552246,62.62389956000001,0.0,4.92594,-0.7748000000000133,50.716218075022795,0.0,4.489151386356257,0.42872523719614364
22.05,0.019138574600219727,62.86825956000001,0.0,4.8872,-0.7747999999999955,50.94096552824544,0.0,4.494949064452984,0.11595356193454975
22.1,0.018082380294799805,63.110682560000015,0.0,4.84846,-0.7747999999999955,51.16595954937372,0.0,4.499880422565514,0.09862716225059742
22.15,0.016092777252197266,63.35116856000001,0.0,4.80972,-0.7747999999999955,51.39119685412396,0.0,4.504746095004851,0.09731344878673553
22.2,0.019321203231811523,63.58971756000001,0.0,4.77098,-0.7748000000000133,51.61667412339798,0.0,4.509545385480371,0.09598580951040603
22.25,0.029677867889404297,63.82632956000001,0.0,4.73224,-0.7747999999999955,51.84238800411278,0.0,4.514277614295927,0.09464457631111145
22.3,0.030531644821166992,64.06100456000001,0.0,4.6935,-0.7747999999999955,52.06833849626835,0.0,4.5190098431114825,0.09464457631111145
22.35,0.01800847053527832,64.29374256000001,0.0,4.65476,-0.7748000000000133,52.29452221271223,0.0,4.523674328877611,0.09328971532257313
22.4,0.02152729034423828,64.52454356000001,0.0,4.61602,-0.7747999999999955,52.52093227740519,0.0,4.528201293859059,0.09053929962895779
22.45,0.018324851989746094,64.75329134000002,0.0,4.5749556,-0.8212879999999956,52.747565201460446,0.0,4.532658481105251,0.08914374492384525
22.5,0.0206146240234375,64.97924984000002,0.0,4.51917,-1.115712000000002,52.97441746215885,0.0,4.537045213968006,0.0877346572550941
22.55,0.04418444633483887,65.20230284000002,0.0,4.46106,-1.1622000000000021,53.19999252160488,0.0,4.511501188920588,-0.5108805009483675
22.6,0.024744033813476562,65.42245034000001,0.0,4.40295,-1.1622000000000021,53.42407758105091,0.0,4.481701188920584,-0.5960000000000676
22.65,0.021103858947753906,65.63969234000001,0.0,4.34484,-1.1622000000000021,53.64664617743422,0.0,4.451371927666206,-0.6065852250875636
22.7,0.02242732048034668,65.85402884000001,0.0,4.28673,-1.1621999999999844,53.86766269442309,0.0,4.420330339777328,-0.6208317577775624
22.75,0.019045114517211914,66.06545984000002,0.0,4.22862,-1.1622000000000021,54.08709242892506,0.0,4.388594690039448,-0.6347129947575958
22.8,0.02095937728881836,66.27398534000001,0.0,4.17051,-1.1622000000000021,54.30496102920903,0.0,4.357372005679465,-0.6244536871996687
22.85,0.021294832229614258,66.47960534,0.0,4.1124,-1.1622000000000021,54.52124906281906,0.0,4.325760672200501,-0.6322266695792678
22.9,0.020200729370117188,66.68231984,0.0,4.05429,-1.1622000000000021,54.73592255710575,0.0,4.293469885733819,-0.6458157293336519
22.95,0.02004551887512207,66.88212884000001,0.0,3.99618,-1.1622000000000021,54.948929354024024,0.0,4.260135938365396,-0.6666789473684531
23.0,0.02639007568359375,67.07903234000001,0.0,3.93807,-1.1621999999999932,55.16028336681286,0.0,4.2270802557768326,-0.6611136517712701
23.05,0.03834390640258789,67.27298564000002,0.0,3.879066,-1.1800800000000056,55.369957274002,0.0,4.19347814378271,-0.672042239882451
23.1,0.01151895523071289,67.46370564000001,0.0,3.8144,-1.2933199999999978,55.577897654686154,0.0,4.158807613683167,-0.6934106019908626
23.15,0.020315170288085938,67.65114764000002,0.0,3.74884,-1.3112000000000013,55.783952338510204,0.0,4.121093676480979,-0.7542787440437593
23.2,0.01807427406311035,67.83531164000001,0.0,3.68328,-1.3112000000000013,55.98813700433888,0.0,4.083693316573586,-0.7480071981478531
23.25,0.01910853385925293,68.01619764000002,0.0,3.61772,-1.3112000000000013,56.19040858908648,0.0,4.045431694951963,-0.7652324324324589
23.3,0.017869949340820312,68.19380564000002,0.0,3.55216,-1.3111999999999924,56.3906846715436,0.0,4.005521649142451,-0.7982009161902504
23.35,0.018376588821411133,68.36813564000002,0.0,3.4866,-1.3112000000000013,56.58899523825864,0.0,3.9662113343007666,-0.7862062968336847
23.4,0.0206754207611084,68.53918764000002,0.0,3.42104,-1.3112000000000013,56.78532876263003,0.0,3.9266704874277725,-0.7908169374598817
23.45,0.021852493286132812,68.70696164000002,0.0,3.35548,-1.3112000000000013,56.97965008364003,0.0,3.8864264201999963,-0.8048813445555236
23.5,0.021422624588012695,68.87145764000002,0.0,3.28992,-1.3112000000000013,57.171951368947056,0.0,3.8460257061405327,-0.808014281189271
23.55,0.0180816650390625,69.03267564000002,0.0,3.22436,-1.3112000000000013,57.36223470980964,0.0,3.8056668172516446,-0.8071777777777633
23.6,0.017822742462158203,69.19061564000002,0.0,3.1588,-1.3112000000000013,57.55043590231493,0.0,3.7640238501057666,-0.8328593429175601
23.65,0.01885199546813965,69.34520612000001,0.0,3.0918096,-1.339807999999998,57.73652172836174,0.0,3.72171652093616,-0.8461465833921356
23.7,0.016991376876831055,69.49599412000002,0.0,3.01576,-1.5209919999999943,57.92051091257391,0.0,3.6797836842434872,-0.8386567338534512
23.75,0.01361083984375,69.64290812000002,0.0,2.93828,-1.5496000000000087,58.102204723891305,0.0,3.6338762263478386,-0.918149157912973
23.8,0.026933670043945312,69.78594812000001,0.0,2.8608,-1.5495999999999999,58.28151430663727,0.0,3.5861916549192627,-0.953691428571517
23.85,0.015314102172851562,69.92511412000002,0.0,2.78332,-1.5495999999999999,58.45844041559049,0.0,3.5385221790644255,-0.9533895170967455
23.9,0.015142679214477539,70.06040612000002,0.0,2.70584,-1.5495999999999999,58.63295943571647,0.0,3.490380402519731,-0.9628355308938907
23.95,0.016539335250854492,70.19182412000002,0.0,2.62836,-1.5495999999999999,58.80502945526743,0.0,3.4414003910191724,-0.9796002300111706
24.0,0.015014410018920898,70.31936812000002,0.0,2.55088,-1.5495999999999999,58.97471210283122,0.0,3.3936529512757656,-0.9549487948681357
24.05,0.025767087936401367,70.44303812000003,0.0,2.4734,-1.5495999999999999,59.14192945627736,0.0,3.3443470689228247,-0.9861176470588173
24.1,0.012928485870361328,70.56283412000002,0.0,2.39592,-1.5495999999999999,59.30661500521038,0.0,3.2937109786603913,-1.0127218052486686
24.15,0.0160062313079834,70.67875612000002,0.0,2.31844,-1.5495999999999999,59.468840861527724,0.0,3.244517126346845,-0.9838770462709245
24.2,0.01881122589111328,70.79080412000002,0.0,2.24096,-1.5495999999999999,59.62856542795338,0.0,3.1944913285131133,-1.0005159566746347
24.25,0.014253854751586914,70.89903176000001,0.0,2.1645528,-1.5281439999999957,59.78575241862146,0.0,3.1437398133615972,-1.015030303030322
24.3,0.0261075496673584,71.00377876000002,0.0,2.09494,-1.392256000000005,59.94041387623899,0.0,3.0932291523506366,-1.0102132202192138
24.35,0.01592111587524414,71.10509876000002,0.0,2.0264,-1.370799999999992,60.09261350908024,0.0,3.043992656824864,-0.9847299105154494
24.4,0.012187719345092773,71.20299176000002,0.0,1.95786,-1.3708000000000053,60.24233669850205,0.0,2.994463788436231,-0.9905773677726604
24.45,0.0174100399017334,71.29745776000001,0.0,1.88932,-1.3707999999999965,60.389656367032295,0.0,2.9463933706048286,-0.9614083566280485
24.5,0.01551365852355957,71.38849676000001,0.0,1.82078,-1.370800000000001,60.534501035562535,0.0,2.896893370604825,-0.990000000000073
24.55,0.013533592224121094,71.47610876,0.0,1.75224,-1.370800000000001,60.67680752695121,0.0,2.8461298277734217,-1.0152708566280655
24.6,0.014467000961303711,71.56029376000001,0.0,1.6837,-1.370800000000001,60.81662269048398,0.0,2.796303270655496,-0.9965311423585099
24.65,0.016110897064208984,71.64105176000001,0.0,1.61516,-1.370800000000001,60.95394975515636,0.0,2.746541293447516,-0.9952395441596007
24.7,0.016794204711914062,71.71838276000001,0.0,1.54662,-1.3707999999999965,61.088753239183575,0.0,2.696069680544292,-1.0094322580644821
24.75,0.016786575317382812,71.79228676000001,0.0,1.47808,-1.370800000000001,61.22097470759701,0.0,2.644429368268669,-1.032806245512461
24.8,0.013929128646850586,71.86276376,0.0,1.40954,-1.370800000000001,61.35065167702936,0.0,2.5935393886470983,-1.0177995924314143
24.85,0.016303062438964844,71.93007302000001,0.0,1.3461852,-1.2670959999999987,61.47775567970584,0.0,2.542080053529449,-1.0291867023529822
24.9,0.023470401763916016,71.99585652,0.0,1.31567,-0.6103040000000037,61.60232386165081,0.0,2.491363638899466,-1.0143282925996644
24.95,0.01390528678894043,72.06037352,0.0,1.29034,-0.506599999999997,61.72470553359578,0.0,2.4476334388994627,-0.8746040000000654
25.0,0.019297361373901367,72.12362402,0.0,1.26501,-0.5066000000000015,61.844947299809256,0.0,2.4048353242694787,-0.8559622925996813
25.05,0.01921534538269043,72.18560801999999,0.0,1.23968,-0.5066000000000015,61.96307827381561,0.0,2.3626194801271585,-0.8443168828464032
25.1,0.02120518684387207,72.24632551999998,0.0,1.21435,-0.506599999999997,62.079126598688426,0.0,2.320966497456252,-0.8330596534181289
25.15,0.02186274528503418,72.30577651999998,0.0,1.18902,-0.5066000000000015,62.19311947939881,0.0,2.2798576142077063,-0.8221776649709156
25.2,0.019916296005249023,72.36396101999998,0.0,1.16369,-0.5066000000000015,62.30506472217816,0.0,2.238904855587015,-0.8190551724138295
25.25,0.02515435218811035,72.42087901999997,0.0,1.13836,-0.506599999999997,62.41493778417202,0.0,2.197461239877116,-0.8288723141979748
25.3,0.02057814598083496,72.47653051999997,0.0,1.11303,-0.5066000000000015,62.52276644747643,0.0,2.1565732660882446,-0.8177594757774287
25.35,0.01763463020324707,72.53091551999997,0.0,1.0877,-0.5066000000000015,62.62859817411517,0.0,2.1166345327748557,-0.7987746662677786
25.4,0.017493009567260742,72.58403401999996,0.0,1.06237,-0.506599999999997,62.73248118604223,0.0,2.077660238541239,-0.7794858846723329
25.45,0.019584178924560547,72.63573403999996,0.0,1.0340004,-0.5673919999999999,62.83443900790284,0.0,2.0391564372122297,-0.7700760265801865
25.5,0.022803544998168945,72.68505303999996,0.0,0.986379999999999,-0.9524080000000201,62.934424547620594,0.0,1.9997107943550878,-0.7889128571428383
25.55,0.025303363800048828,72.73183903999995,0.0,0.935719999999998,-1.0132000000000208,63.03226042234843,0.0,1.9567174945566876,-0.8598659959680033
25.6,0.02228713035583496,72.77609203999995,0.0,0.885059999999999,-1.0131999999999808,63.1279112301217,0.0,1.913016155465375,-0.8740267818262515
25.65,0.01550912857055664,72.81781203999995,0.0,0.834399999999998,-1.0132000000000185,63.221391223331636,0.0,1.8695998641987535,-0.8683258253324322
25.7,0.01575183868408203,72.85699903999995,0.0,0.783739999999998,-1.0132000000000008,63.31275125249836,0.0,1.8272005833345095,-0.8479856172848788
25.75,0.011723041534423828,72.89365303999995,0.0,0.733079999999999,-1.0131999999999808,63.40194787425768,0.0,1.7839324351863624,-0.8653629629629433
25.8,0.015345335006713867,72.92777403999995,0.0,0.682419999999999,-1.0131999999999985,63.48891702854443,0.0,1.739383085735013,-0.8909869890269873
25.85,0.014990806579589844,72.95936203999995,0.0,0.63176,-1.0131999999999808,63.57364739933908,0.0,1.694607415892976,-0.8955133968407392
25.9,0.015172481536865234,72.98841703999994,0.0,0.581099999999999,-1.0132000000000208,63.656208163808,0.0,1.6512152893784184,-0.8678425302911519
25.95,0.01648879051208496,73.01493903999994,0.0,0.530439999999999,-1.0131999999999985,63.73659960366697,0.0,1.607828797179216,-0.8677298439840486
26.0,0.014988183975219727,73.03892803999994,0.0,0.47978,-1.0131999999999808,63.814787428141315,0.0,1.563756489486906,-0.8814461538461993
26.05,0.016480684280395508,73.06058071999995,0.0,0.433053599999999,-0.93452800000002,63.89069583628972,0.0,1.518168162968177,-0.9117665303745826
26.1,0.016562223434448242,73.08114271999995,0.0,0.41124,-0.4362719999999798,63.964370357970886,0.0,1.4734904336232497,-0.893554586898544
26.15,0.015859127044677734,73.10081071999994,0.0,0.39336,-0.35760000000000014,64.03596014112586,0.0,1.4317956630992772,-0.8338954104794505
26.2,0.019403934478759766,73.11958471999993,0.0,0.37548,-0.35760000000000014,64.10551854800563,0.0,1.3911681375954512,-0.8125505100765196
26.25,0.019746065139770508,73.13746471999994,0.0,0.3576,-0.35760000000000014,64.17308932385157,0.0,1.3514155169186934,-0.7950524135351555
26.3,0.018717527389526367,73.15445071999994,0.0,0.339719999999999,-0.357600000000019,64.2386395396975,0.0,1.3110043169186958,-0.808223999999953
26.35,0.02136516571044922,73.17054271999994,0.0,0.32184,-0.35759999999998016,64.3022114269096,0.0,1.2714377442419529,-0.7913314535348581
26.4,0.01969122886657715,73.18574071999994,0.0,0.303959999999999,-0.3576000000000201,64.3638483586332,0.0,1.23273863447228,-0.7739821953934589
26.45,0.020788908004760742,73.20004471999994,0.0,0.286079999999999,-0.35760000000000014,64.42359197308788,0.0,1.1948722890933885,-0.7573269075778288
26.5,0.01769113540649414,73.21345471999993,0.0,0.268199999999999,-0.35760000000000014,64.48148224296436,0.0,1.1578053975296452,-0.7413378312748664
26.55,0.021685123443603516,73.22597071999994,0.0,0.250319999999999,-0.35760000000000014,64.53755026284084,0.0,1.121360397529641,-0.7289000000000856
26.6,0.02135491371154785,73.23759271999994,0.0,0.232439999999999,-0.3575999999999996,64.59176636522247,0.0,1.084322047632581,-0.7407669979411979
26.65,0.020869970321655273,73.24849057999994,0.0,0.2179572,-0.2896559999999804,64.6441704633382,0.0,1.0480819623145579,-0.7248017063604628
26.7,0.016377687454223633,73.25974007999994,0.0,0.224990000000001,0.1406560000000201,64.69482963486577,0.0,1.0131834305514495,-0.6979706352621662
26.75,0.026647090911865234,73.27151107999994,0.0,0.23542,0.2085999999999799,64.74384673674636,0.0,0.9803420376118119,-0.6568278587927523
26.8,0.017522573471069336,73.28380357999994,0.0,0.245850000000001,0.20860000000002044,64.7913336260486,0.0,0.9497377860446471,-0.6120850313432968
26.85,0.01472926139831543,73.29661757999995,0.0,0.25628,0.2085999999999799,64.8373758116299,0.0,0.9208437116261189,-0.5778814883705641
26.9,0.017415761947631836,73.30995307999994,0.0,0.266710000000001,0.20860000000001988,64.8820412798199,0.0,0.8933093638000427,-0.5506869565215244
26.95,0.014144182205200195,73.32381007999994,0.0,0.27714,0.2085999999999799,64.92536724939295,0.0,0.8665193914609056,-0.5357994467827409
27.0,0.015888690948486328,73.33818857999995,0.0,0.28757,0.2085999999999999,64.96743463333239,0.0,0.8413476787886921,-0.5034342534442704
27.05,0.015110969543457031,73.35308857999995,0.0,0.298,0.2085999999999999,65.00832082666577,0.0,0.8177238666674458,-0.47247624242492625
27.1,0.01753830909729004,73.36851007999995,0.0,0.30843,0.2085999999999999,65.04809985941942,0.0,0.7955806550732016,-0.442864231884883
27.15,0.0173795223236084,73.38445307999994,0.0,0.31886,0.2085999999999999,65.08684254292292,0.0,0.7748536700700236,-0.4145397000635609
27.2,0.017184972763061523,73.40091757999994,0.0,0.32929,0.208600000000001,65.12461660975237,0.0,0.755481336588713,-0.38744666962621244
27.25,0.02002406120300293,73.41827011999995,0.0,0.3470508,0.3552159999999993,65.16148684758922,0.0,0.7374047567370223,-0.3615315970338129
27.3,0.015353679656982422,73.43883211999994,0.0,0.411240000000002,1.28378400000004,65.19754710030273,0.0,0.7212050542701992,-0.32399404933646236
27.35,0.012701034545898438,73.46297011999994,0.0,0.482760000000001,1.4303999999999806,65.23303917119806,0.0,0.7098414179065629,-0.22727272727272707
27.4,0.011850833892822266,73.49068411999994,0.0,0.554280000000002,1.4304000000000194,65.2679630602752,0.0,0.6984777815429265,-0.22727272727272707
