Config,Group,Controller,RMS_Speed_Dev_pct,RMS_Gap_Dev_pct,RMS_Effort_Dev_pct
3veh,2s\10s,PCF-IDA,-9.9521944593606,-19.1336834833731,94.6343482363914
3veh,1.5s\10s,PCF,55.4230981437443,-24.5096408112504,76.3976488070027
3veh,1.5s\10s,PCF-I,2.20529742631429,-0.372966268610396,76.0427809403136
3veh,1.5s\10s,PCF-IDA,-5.08160528950519,-11.9292421382506,108.47607455922
3veh,1s\10s,PCF,18.2616847371758,-17.2792756983462,59.5085302721474
3veh,1s\10s,PCF-I,2.08199773816661,0.00219295818105472,58.701628039639
3veh,1s\10s,PCF-IDA,-1.02450750077123,-5.67827599960554,77.4410766567864
3veh,0.75s\10s,PCF,2.15112451297162,-11.6121486642142,46.6582866435355
3veh,0.75s\10s,PCF-I,1.46420265621258,0.00844385026552162,42.2292256673009
3veh,0.75s\10s,PCF-IDA,-1.69976367697049,-6.27060136514352,67.4682117601495
3veh,0.5s\10s,PCF,-3.30528191605655,-9.24406489172938,36.0869972819785
3veh,0.5s\10s,PCF-I,0.978827490696786,-0.161136303112088,38.2817524798496
3veh,0.5s\10s,PCF-IDA,0.62346397616508,-1.58025608146194,40.6171814067538
3veh,0.2s\10s,PCF,-3.50116480138584,-2.2651426541913,12.6452467194982
3veh,0.2s\10s,PCF-I,-0.281177934504308,-1.09186399831076,22.4671694558027
3veh,0.2s\10s,PCF-IDA,0.877774059987689,0.0928750612355379,17.6981741720728
3veh,0.1s\10s,PCF,0.547726648087048,-1.22034175724639,17.8487389622122
3veh,0.1s\10s,PCF-I,-0.643074772342402,-1.41094399002251,16.8594699663549
3veh,0.1s\10s,PCF-IDA,0.21428282807152,-0.258243469049496,9.04196759810869
3veh_avg,No Attack,PCF,0,0,0
3veh_avg,No Attack,PCF-I,0,0,0
3veh_avg,No Attack,PCF-IDA,0,0,0
3veh_avg,2s\22s,PCF,74.776504167482,-16.2811696842497,74.7055048099331
3veh_avg,2s\22s,PCF-I,4.36553715810633,1.55138834421899,40.1086250493742
3veh_avg,2s\22s,PCF-IDA,-10.864496366478,-17.3537255731154,31.593064468621
3veh_avg,2s\19s,PCF,76.2747652263066,-35.0888009648568,92.323018126634
3veh_avg,2s\19s,PCF-I,4.58966648295537,2.10660455378532,53.2010107927316
3veh_avg,2s\19s,PCF-IDA,-14.7650380924886,-21.9076290904855,15.8336562148971
3veh_avg,2s\20s,PCF,75.4562952863548,-35.1821616426295,93.9405419827751
3veh_avg,2s\20s,PCF-I,4.6009415553206,2.20212232575595,62.2315341589085
3veh_avg,2s\20s,PCF-IDA,-12.9434522147201,-19.3743273688,21.4179803525268
